open,high,low,close,volume,datetime,symbol,SMA_10,SMA_20,SMA_50,%Year,%6Month,%3Month,%1Month,$Volume,adr_percent,atr,str_dev,lower_band,upper_band,lower_channel,upper_channel,sector,industry,%Year_rank,%6Month_rank,%3Month_rank,%1Month_rank,composite_score,sector_rank
6.38,6.435,6.12,6.19,1088420.0,2026-05-22,XERS,6.242,6.2588,6.0021,29.5,-9.5,-7.34,2.31,6530520.0,4.68,0.2863449999999999,0.1784573883974282,5.901885223205143,6.6157147767948565,5.8292825,6.6883175,Health Care,Biotechnology: Pharmaceutical Preparations,150.0,169.0,139.0,71.0,132.25,418.0
11.28,11.28,10.905,11.04,1199363.0,2026-05-22,UNIT,11.052,11.244,10.4016,50.93,88.4,42.64,-7.85,13192993.0,4.18,0.4632600000000001,0.2866026040208216,10.670794791958356,11.817205208041644,10.54911,11.93889,Real Estate,Real Estate Investment Trusts,9.0,2.0,4.0,133.0,37.0,60.0
25.72,26.58,25.0003,25.57,7797676.0,2026-05-22,U,26.405,26.7175,23.9444,4.2,-32.19,39.8,-1.69,202739576.0,5.67,1.4748,0.7119792649254814,25.29354147014904,28.141458529850965,24.5053,28.9297,Technology,Computer Software: Prepackaged Software,27.0,113.0,17.0,83.0,60.0,314.0
33.06,33.45,32.16,32.47,312023.0,2026-05-22,TYRA,34.596,34.3847,35.851,261.18,54.62,-4.16,-13.62,10296759.0,5.84,1.962955,1.2555282752692936,31.87364344946141,36.89575655053859,31.440267500000004,37.3291325,Health Care,Biotechnology: Pharmaceutical Preparations,33.0,32.0,125.0,186.0,94.0,360.0
14.23,14.495,14.115,14.13,1323227.0,2026-05-22,TRVI,14.231,14.2165,13.3172,125.72,32.68,25.27,-1.94,18525178.0,5.61,0.77283,0.5257303191000768,13.165039361799844,15.267960638200154,13.057255,15.375745,Health Care,Biotechnology: Pharmaceutical Preparations,69.0,64.0,44.0,111.0,72.0,319.0
4.69,4.88,4.625,4.64,844033.0,2026-05-22,TLS,4.44,4.405,4.3198,83.4,-15.17,19.59,4.74,4220165.0,5.73,0.2437599999999999,0.1684761423060946,4.068047715387811,4.741952284612189,4.03936,4.77064,Technology,EDP Services,6.0,47.0,33.0,35.0,30.25,179.0
29.36,30.0,28.57,28.81,545471.0,2026-05-22,TILE,28.414,28.1455,27.125,42.48,12.72,-9.63,2.53,15818659.0,4.02,1.11015,0.7432041229844233,26.659091754031152,29.631908245968845,26.480275,29.810725,Consumer Discretionary,Home Furnishings,2.0,3.0,5.0,2.0,3.0,72.0
86.0,86.04,84.17,85.84,1335386.0,2026-05-22,TIGO,82.828,82.664,80.248,135.69,64.86,25.19,2.12,113507810.0,4.1,3.2217100000000003,2.45231877381664,77.75936245236672,87.56863754763329,77.831435,87.496565,Telecommunications,Telecommunications Equipment,9.0,13.0,13.0,20.0,13.75,27.0
7.65,7.8,7.485,7.56,1082639.0,2026-05-22,TDAY,7.473,7.374,7.1198,,71.43,29.23,3.7,8661112.0,4.72,0.3378,0.1931293539791609,6.987741292041678,7.760258707958322,6.8673,7.880699999999999,Consumer Discretionary,Newspapers/Magazines,5.0,1.0,1.0,1.0,2.0,34.0
63.49,65.0827,62.17,62.26,259588.0,2026-05-22,TARS,63.027,62.9725,65.7819,48.06,-19.12,-17.0,1.32,16613632.0,5.63,3.41455,1.7330680886799337,59.50636382264013,66.43863617735987,57.850675,68.094325,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),44.0,62.0,57.0,25.0,47.0,259.0
